Id,Stage Name,Real Name (Korean),Group Name,Group Debut Year,Entertainment,Active,Roles,Height,Weight,Blood Type,Birth Date,Nationality,Personal IG,Group IG,Favorite
26,Vernon,Choi Han Sol,Seventeen,2015,Pledis,TRUE,"Main Rapper, Sub Vocalist, Visual, Face of the Group",178,62,A,18/2/1998,South Korean - American,chwenotchew,saythename_28,FALSE
27,Dino,Lee Chan,Seventeen,2015,Pledis,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper, Maknae",174,56,A,11/2/1999,South Korean,None,saythename_29,FALSE
28,Jay B,Im Jae Beom,Got7,2014,JYP,TRUE,"Leader, Main Vocalist, Lead Dancer, Center",179,66,A,6/1/1994,South Korean,jaybnow.hr,got7.with.igot7,FALSE
29,Mark,Dong Yi Eun,Got7,2014,JYP,TRUE,"Lead Rapper, Sub Vocalist, Martial Arts Tricking, Visual",175,60,A,4/9/1993,American,marktuan,got7.with.igot8,FALSE
30,Jackson,,Got7,2014,JYP,TRUE,"Main Rapper, Lead Dancer, Sub Vocalist, Face of The Group",174,63,O,28/3/1994,Chinese,jacksonwang852g7,got7.with.igot9,FALSE
31,Jinyoung,Park Jin Young,Got7,2014,JYP,TRUE,"Lead Dancer, Sub Vocalist, Sub Rapper, Choreographer, Visual, Center, Face of The Group",178,63,O,22/9/1994,South Korean,jinyoung_0922jy,got7.with.igot10,FALSE
32,Youngjae,Choi Young Jae,Got7,2014,JYP,TRUE,Main Vocalist,177,65,B,17/9/1996,South Korean,333cyj333,got7.with.igot11,FALSE
33,BamBam,,Got7,2014,JYP,TRUE,"Sub Rapper, Sub Vocalist",178,60,B,2/5/1997,Thai,bambam1a,got7.with.igot12,FALSE
34,Yugyeom,Kim Yu Gyeom,Got7,2014,JYP,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper, Maknae",183,68,A,17/11/1997,South Korean,yu_gyeom,got7.with.igot13,FALSE
35,Jihyo,Park Ji Soo,Twice,2015,JYP,TRUE,"Leader, Main Vocalist",162,56,O,1/2/1997,South Korean,None,twicetagram,FALSE
36,Nayeon,Im Na Yeon,Twice,2015,JYP,TRUE,"Lead Vocalist, Lead Dancer, Center",163,47,A,22/9/1995,South Korean,None,twicetagram,FALSE
37,Jeongyeon,Yoo Kyung Wan,Twice,2015,JYP,TRUE,Lead Vocalist,169,49.1,O,1/11/1996,South Korean,None,twicetagram,FALSE
38,Momo,,Twice,2015,JYP,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper",167,48.5,A,9/11/1996,Japanese,None,twicetagram,FALSE
39,Sana,,Twice,2015,JYP,TRUE,Sub Vocalist,168,47,B,29/12/1996,Japanese,None,twicetagram,FALSE
40,Mina,,Twice,2015,JYP,TRUE,"Main Dancer, Sub Vocalist",163,46,A,24/3/1997,Japanese-American,None,twicetagram,FALSE
41,Dahyun,Kim Da Hyun,Twice,2015,JYP,TRUE,"Lead Rapper, Sub Vocalist",165,48.9,O,28/5/1998,South Korean,None,twicetagram,FALSE
42,Chaeyoung,Son Chae Young,Twice,2015,JYP,TRUE,"Main Rapper, Sub Vocalist",163,46,B,23/4/1999,South Korean,None,twicetagram,FALSE
43,Tzuyu,Chou Tzu Yu,Twice,2015,JYP,TRUE,"Lead Dancer, Sub Vocalist, Visual, Maknae",170,48,A,14/6/1999,Taiwanese,None,twicetagram,FALSE
44,Jisoo,Kim Ji Soo,Blackpink,2016,YG,TRUE,"Lead Vocalist, Visual",162,44,A,3/1/1995,South Korean,sooyaaa__,blackpinkofficial,FALSE
45,Jennie,Kim Jennie,Blackpink,2016,YG,TRUE,"Main Rapper, Lead Vocalist",163,45,B,16/1/1996,South Korean,jennierubyjane,blackpinkofficial,FALSE
46,Rosé,Park Chae Young,Blackpink,2016,YG,TRUE,"Main Vocalist, Lead Dancer",168.7,44,B,11/2/1997,South Korean,roses_are_rosie,blackpinkofficial,FALSE
47,Lisa,,Blackpink,2016,YG,TRUE,"Main Dancer, Lead Rapper, Sub Vocalist, Maknae",166.5,44.7,O,27/3/1997,Thai,lalalalisa_m,blackpinkofficial,FALSE
48,Irene,Bae Ju Hyun,Red Velvet,2014,SM,TRUE,"Leader, Main Rapper, Lead Dancer, Sub Vocalist, Visual, Center",160,44,A,29/3/1991,South Korean,renebaebae,redvelvet.smtown,FALSE
49,Wendy,Son Seung Wan,Red Velvet,2014,SM,TRUE,Main Vocalist,160,47,O,21/2/1994,South Korean,todayis_wendy,redvelvet.smtown,FALSE
50,Seulgi,Kang Seul Gi,Red Velvet,2014,SM,TRUE,"Main Dancer, Lead Vocalist",164,44,A,10/2/1994,South Korean,hi_sseulgi,redvelvet.smtown,FALSE
51,Joy ,Park Soo Young,Red Velvet,2014,SM,TRUE,"Lead Rapper, Sub Vocalist",168,49,A,3/9/1996,South Korean,_imyour_joy,redvelvet.smtown,FALSE
52,Yeri,Kim Ye Rim,Red Velvet,2014,SM,TRUE,"Sub Vocalist, Sub Rapper, Maknae",160,49,O,5/3/1999,South Korean,yerimiese,redvelvet.smtown,FALSE
53,Taeyeon,Kim Tae Yeon,Snsd / Girl's Generation,2007,SM,TRUE,"Leader, Main Vocalist",160,45,A,9/3/1989,South Korean,taeyeon_ss,girlsgeneration,FALSE
54,Yuri,Kwon Yu Ri,Snsd / Girl's Generation,2007,SM,TRUE,"Lead Dancer, Lead Rapper, Sub Vocalist",167,45,AB,5/12/1989,South Korean,yulyulk ,girlsgeneration,FALSE
55,Hyoyeon,Kim Hyo Yeon,Snsd / Girl's Generation,2007,SM,TRUE,"Main Dancer, Main Rapper, Sub Vocalist",161.4,44,AB,22/9/1989,South Korean,hyoyeon_x_x,girlsgeneration,FALSE
56,Sunny,Lee Soon Kyu,Snsd / Girl's Generation,2007,SM,TRUE,"Lead Vocalist, Sub Rapper",158,47,B,15/5/1989,South Korean,515sunnyday,girlsgeneration,FALSE
57,Yoona,Im Yoon-A,Snsd / Girl's Generation,2007,SM,TRUE,"Lead Dancer, Lead Rapper, Sub Vocalist, Visual, Center",168,48,B,30/5/1990,South Korean,yoona__lim,girlsgeneration,FALSE
58,Tiffany,Hwang Mi Young,Snsd / Girl's Generation,2007,SM,TRUE,"Lead Vocalist, Sub Rapper",162,51,O,1/7/1989,South Korean - American,tiffanyyoungofficial,girlsgeneration,FALSE
59,Sooyoung,Choi Soo Young,Snsd / Girl's Generation,2007,SM,TRUE,"Lead Dancer, Lead Rapper, Sub Vocalist",172,47,O,10/2/1990,South Korean,sooyoungchoi,girlsgeneration,FALSE
60,Seohyun,Seo Joo Hyun,Snsd / Girl's Generation,2007,SM,TRUE,"Lead Vocalist, Maknae",170,51,A,28/6/1991,South Korean,seojuhyun_s,girlsgeneration,FALSE
61,Jessica,Jung Soo-yeon,Snsd / Girl's Generation,2007,SM,TRUE,Main Vocalist,162,46,A,18/4/1989,American,jessica.syj,girlsgeneration,FALSE
62,Leeteuk,Park Jung Soo,Suju / Super Junior,2005,SM,TRUE,"Leader, Sub Vocalist, Sub Rapper",174,58,A,1/7/1983,South Korean,xxteukxx,superjunior,FALSE
63,Heechul,Kim Hee Chul,Suju / Super Junior,2005,SM,TRUE,"Sub Vocalist, Sub Rapper",176,60,AB,10/7/1983,South Korean,kimheenim,superjunior,FALSE
64,Yesung,Kim Jong Woon,Suju / Super Junior,2005,SM,TRUE,Main Vocalist,177,64,AB,24/8/1984,South Korean,yesung1106,superjunior,FALSE
65,Shindong,Shin Dong Hee,Suju / Super Junior,2005,SM,TRUE,"Sub Rapper, Lead Dancer, Sub Vocalist",177,79,O,28/9/1995,South Korean,earlyboysd,superjunior,FALSE
66,Sungmin,Lee Sung Min,Suju / Super Junior,2005,SM,TRUE,"Lead Vocalist, Lead Dancer, Visual",171,57,A,1/1/1986,South Korean,_liustudio_,superjunior,FALSE
67,Eunhyuk,Lee Hyuk Jae,Suju / Super Junior,2005,SM,TRUE,"Main Rapper, Sub Vocalist, Main Dancer",174,61,O,4/4/1986,South Korean,None,superjunior,FALSE
68,Siwon,Choi Si Won,Suju / Super Junior,2005,SM,TRUE,"Sub Vocalist, Visual, Center",183,65,B,7/4/1986,South Korean,siwonchoi,superjunior,FALSE
69,Donghae,Lee Dong Hae,Suju / Super Junior,2005,SM,TRUE,"Lead Vocalist, Lead Dancer, Sub Rapper",174,60,A,15/10/1986,South Korean,leedonghae,superjunior,FALSE
70,Ryeowook,Kim Ryeo Wook,Suju / Super Junior,2005,SM,TRUE,Main Vocalist,170,58,O,21/6/1987,South Korean,None,superjunior,FALSE
71,Kyuhyun,Cho Kyu Hyun,Suju / Super Junior,2005,SM,TRUE,"Main Vocalist, Maknae",178,68,A,3/2/1988,South Korean,gyuram88,superjunior,FALSE
72,Yeeun,Park Ye Eun,Wonder Girls,2007,JYP,FALSE,"Leader, Main Vocalist, Keyboardist",165,47,AB,26/5/1989,South Korean,hatfelt,None,FALSE
73,Yubin,Kim Yu Bin,Wonder Girls,2007,JYP,FALSE,"Main Rapper, Vocalist, Drummer, Face of the Group",161,45,O,4/10/1988,South Korean,hi_yubin,None,FALSE
74,Sunmi,Lee Sun Mi,Wonder Girls,2007,JYP,FALSE,"Main Dancer, Vocalist, Bassist, Visual",166,50,AB,2/5/1992,South Korean,miyayeah,None,FALSE
75,Hyelim,Woo Hye Lim,Wonder Girls,2007,JYP,FALSE,"Lead Rapper, Vocalist, Guitarist, Maknae",165,50,O,1/9/1992,South Korean,wg_lim,None,FALSE
76,Sohee,Ahn So Hee,Wonder Girls,2007,JYP,FALSE,"Vocalist, Face of The Group, Main Dancer",163,43,AB,27/6/1992,South Korean,None,None,FALSE
77,CL,Lee Chae-rin,2ne1,2009,YG,FALSE,"Leader, Main Rapper, Lead Dancer, Lead Vocalist, Face of the Group",162,48,A,26/2/1991,South Korean,chaelincl,2ne1xxi,FALSE
78,Dara,Park Sandara,2ne1,2009,YG,FALSE,"Vocalist, Sub Rapper, Visual",162,40,A,12/11/1984,South Korean,daraxxi,2ne1xxi,FALSE
79,Bom,Park Bom,2ne1,2009,YG,FALSE,Main Vocalist,165,52,AB,24/3/1984,South Korean,newharoobompark,2ne1xxi,FALSE
80,Minzy,Gong Minji,2ne1,2009,YG,FALSE,"Main Dancer, Lead Vocalist, Lead Rapper, Maknae",161,49,O,18/1/1994,South Korean,_minzy_mz,2ne1xxi,FALSE
81,Onew ,Lee Jin Ki,Shinee,2008,SM,TRUE,"Leader, Main Vocalist",177,61,O,14/12/1989,South Korean,dlstmxkakwldrl,shinee,FALSE
82,Key ,Kim Ki Bum,Shinee,2008,SM,TRUE,"Lead Rapper, Lead Dancer, Sub Vocalist",178,59,B,23/9/1991,South Korean,bumkeyk,shinee,FALSE
83,Minho,Choi Min Ho,Shinee,2008,SM,TRUE,"Main Rapper, Sub Vocalist, Visual",181,60,B,9/12/1991,South Korean,choiminho_1209,shinee,FALSE
84,Taemin,Lee Tae Min,Shinee,2008,SM,TRUE,"Main Dancer, Sub Vocalist, Maknae",174,58,B,18/7/1993,South Korean,lm_____ltm,shinee,FALSE
85,Jonghyun,Kim Jong Hyun,Shinee,2008,SM,TRUE,Main Vocalist,173,58,AB,8/4/1990,South Korean,jonghyun.948,shinee,FALSE
86,Qri,Lee Ji Hyun,T-ara,2009,MBK,FALSE,"Leader, Sub-vocalist",163,44,B,12/12/1986,South Korean,qtfreet,None,FALSE
87,Eunjung,Ham Eun Jung,T-ara,2009,MBK,FALSE,"Main Rapper, Lead Vocalist",168,48,O,12/12/1988,South Korean,eunjung.hahm,None,FALSE
88,Hyomin,Park Sun Young,T-ara,2009,MBK,FALSE,"Main Vocalist, Lead Rapper, Lead Dancer",167,43,O,30/5/1989,South Korean,hyominnn,None,FALSE
89,Jiyeon,Park Ji Yeon,T-ara,2009,MBK,FALSE,"Main Dancer, Lead Vocalist, Visual, Face of The Group, Maknae",167,45,AB,7/6/1993,South Korean,jiyeon2__,None,FALSE
90,Boram,Jeon Bo Ram,T-ara,2009,MBK,FALSE,"Vocalist, Sub-Rapper",155,45,B,22/3/1986,South Korean,bo_ram_0322,None,FALSE
91,Soyeon,Park So Yeon,T-ara,2009,MBK,FALSE,Main Vocalist,163,,B,5/10/1987,South Korean,melodysoyani,None,FALSE
92,Dani,Kim Da Ni,T-ara,2009,MBK,FALSE,,167,,,23/12/1999,South Korean - American,None,None,FALSE
93,Hana,Lee Ji Ae,T-ara,2009,MBK,FALSE,,163,43,B,6/8/1987,South Korean,None,None,FALSE
94,Jiwon,Yang Ji Won,T-ara,2009,MBK,FALSE,Vocalist,166,44,,5/4/1988,South Korean,None,None,FALSE
95,Hwayoung,Ryu Hwa-young,T-ara,2009,MBK,FALSE,"Main Rapper, Vocalist",168,,O,22/4/1993,South Korean,None,None,FALSE
96,Areum,Lee Ah Reum,T-ara,2009,MBK,FALSE,"Main Vocalist, Rapper",167,,,19/4/1994,South Korean,areum0ju,None,FALSE
97,G-Dragon,Kwon Ji Yong,Big Bang,2006,YG,TRUE,"Leader, Main Rapper, Vocalist, Face of the Group",177,58,A,18/8/1988,South Korean,xxxibgdrgn,None,FALSE
98,T.O.P,Choi Seung-hyun,Big Bang,2006,YG,TRUE,"Lead Rapper, Vocalist, Visual",181,65,B,4/10/1987,South Korean,choi_seung_hyun_tttop,None,FALSE
99,Taeyang ,Dong Yong Bae,Big Bang,2006,YG,TRUE,"Main Vocalist, Main Dancer",174,56,B,18/5/1988,South Korean,__youngbae__,None,FALSE
100,Daesung,Kang Daesung,Big Bang,2006,YG,TRUE,"Lead Vocalist, Maknae",178,63,O,26/4/1989,South Korean,None,None,FALSE
101,Seungri,Lee Seung Hyun,Big Bang,2006,YG,TRUE,"Lead Dancer, Vocalist, Maknae",177,60,A,12/12/1990,South Korean,seungriseyo,None,FALSE
102,Suho,Kim Jun Myeon,Exo,2012,SM,TRUE,"Leader, Lead Vocalist, Visual",173,60,AB,22/5/1991,South Korean,kimjuncotton,weareone.exo,FALSE
103,Xiumin,Kim Min Seok,Exo,2012,SM,TRUE,"Sub Vocalist, Sub Rapper",172,57,B,26/3/1990,South Korean,e_xiu_o,weareone.exo,FALSE
104,Lay,,Exo,2012,SM,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper",176,60,AB,7/10/1991,Chinese,layzhang,weareone.exo,FALSE
105,Baekhyun,Byun Baek Hyun,Exo,2012,SM,TRUE,Main Vocalist,174,64,O,6/5/1992,South Korean,baekhyunee_exo,weareone.exo,FALSE
106,Chen,Kim Jong Dae,Exo,2012,SM,TRUE,Main Vocalist,172.5,60,B,21/9/1992,South Korean,None,weareone.exo,FALSE
107,Chanyeol,Park Chan Yeol,Exo,2012,SM,TRUE,"Main Rapper, Sub Vocalist, Visual",186,70,A,27/10/1992,South Korean,real__pcy,weareone.exo,FALSE
108,D.O.,Do Kyung Soo,Exo,2012,SM,TRUE,Main Vocalist,172,60,A,12/1/1993,South Korean,None,weareone.exo,FALSE
109,Kai,Kim Jong In,Exo,2012,SM,TRUE,"Main Dancer, Sub Rapper, Sub Vocalist, Center, Visual",180,67,A,14/1/1994,South Korean,zkdlin,weareone.exo,FALSE
110,Sehun,Oh Se Hun,Exo,2012,SM,TRUE,"Lead Dancer, Lead Rapper, Visual, Maknae",183,66,O,12/4/1994,South Korean,oohsehun,weareone.exo,FALSE
111,Kris,,Exo,2012,SM,TRUE,"Main Rapper, EXO-M Leader",186.6,73,O,6/10/1990,Chinese - Canadian,kriswu,weareone.exo,FALSE
112,Tao,,Exo,2012,SM,TRUE,"Lead Rapper, Lead Dancer, Sub Vocalist",184,68,AB,2/5/1993,Chinese,hztttao,weareone.exo,FALSE
113,Luhan,,Exo,2012,SM,TRUE,"Lead Vocalist, Lead Dancer, Visual, Face of The Group",175,52,A,20/4/1990,Chinese,7_luhan_m,weareone.exo,FALSE
114,Yeji,Hwang Ye Ji,Itzy,2019,JYP,TRUE,"Leader, Main Dancer, Lead Vocalist, Sub Rapper",167,46,A,26/5/2000,South Korean,None,itzy.all.in.us,FALSE
115,Lia,Choi Ji Su,Itzy,2019,JYP,TRUE,"Main Vocalist, Sub Rapper",162,43,AB,21/7/2000,South Korean,None,itzy.all.in.us,FALSE
116,Ryujin,Shin Ryu Jin,Itzy,2019,JYP,TRUE,"Main Rapper, Lead Dancer, Sub Vocalist, Center",164,49,B,17/4/2001,South Korean,None,itzy.all.in.us,FALSE
117,Chaeryeong,Lee Chae Ryeong,Itzy,2019,JYP,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper",166,46,B,5/6/2001,South Korean,None,itzy.all.in.us,FALSE
118,Yuna,Shin Yu Na,Itzy,2019,JYP,TRUE,"Lead Rapper, Lead Dancer, Sub Vocalist, Visual, Maknae",170,48,A,9/12/2003,South Korean,None,itzy.all.in.us,FALSE
119,Karina,Yoo Ji Min,Aespa,2020,SM,TRUE,"Leader, Main Dancer, Lead Rapper, Sub Vocalist, Face Of The Group",167,45,B,11/4/2000,South Korean,None,aespa_official,FALSE
120,Giselle,,Aespa,2020,SM,TRUE,"Main Rapper, Sub Vocalist",166,,O,30/10/2000,Japanese-South Korean,None,aespa_official,FALSE
121,Winter,Kim Min Jeong,Aespa,2020,SM,TRUE,"Lead Vocalist, Lead Dancer, Visual",163,,A,1/1/2001,South Korean,None,aespa_official,FALSE
122,NingNing,Jeo Ye Tak,Aespa,2020,SM,TRUE,"Main Vocalist, Maknae",162,43,O,23/10/2002,Chinese,None,aespa_official,FALSE
123,Soyeon,Jeon So Yeon,(G)i-dle,2018,Cube,TRUE,"Leader, Main Rapper, Sub Vocalist, Center",157,45,B,26/8/1998,South Korean,None,official_g_i_dle,FALSE
124,Miyeon,Cho Mi Yeon,(G)i-dle,2018,Cube,TRUE,"Main Vocalist, Visual",161,45,B,31/1/1997,South Korean,None,official_g_i_dle,FALSE
125,Minnie,Kim Min Hee,(G)i-dle,2018,Cube,TRUE,Main Vocalist,165,45,O,23/10/1997,Thai,None,official_g_i_dle,FALSE
126,Soojin,Seo Su Jin,(G)i-dle,2018,Cube,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper",164,43,O,9/3/1998,South Korean,None,official_g_i_dle,FALSE
127,Yuqi,Song Woo Gi,(G)i-dle,2018,Cube,TRUE,"Lead Dancer, Sub Vocalist, Sub Rapper, Face of the Group",162,43,O,23/9/1999,Chinese,None,official_g_i_dle,FALSE
128,Shuhua,Yoo Su Hwa,(G)i-dle,2018,Cube,TRUE,"Sub Vocalist, Visual, Maknae",161,45,O,6/1/2000,Taiwanese,None,official_g_i_dle,FALSE
129,Solar,Kim Yong Sun,Mamamoo,2014,RBW,TRUE,"Leader, Vocalist",163,45,B,21/2/1991,South Korean,solarkeem,mamamoo_official,FALSE
130,Moonbyul,Moon Byul-Yi,Mamamoo,2014,RBW,TRUE,"Rapper, Performer",165,45,B,22/12/1992,South Korean,mo_onbyul,mamamoo_official,FALSE
131,Wheein,Jung Whee In,Mamamoo,2014,RBW,TRUE,"Vocalist, Performer",162,43,B,17/4/1995,South Korean,whee_inthemood,mamamoo_official,FALSE
132,Hwasa,Ahn Hye Jin,Mamamoo,2014,RBW,TRUE,"Vocalist, Rapper, Maknae",162,44,A,23/7/1995,South Korean,_mariahwasa,mamamoo_official,FALSE
133,Taeyong,Lee Tae Yong,Nct,2016,SM,TRUE,"Leader, Rapper, Dancer, Vocalist, Center, Visual",174,58,O,1/7/1995,South Korean,taeoxo_nct,nct,FALSE
134,Taeil,Moon Tae Il,Nct,2016,SM,TRUE,Vocalist ,171,60,O,14/6/1994,South Korean,None,nct,FALSE
135,Johnny,Seo Young Ho,Nct,2016,SM,TRUE,"Dancer, Rapper, Vocalist",185,70,B,9/2/1995,South Korean - American,johnnyjsuh,nct,FALSE
136,Yuta,Joong Yoo Tae,Nct,2016,SM,TRUE,"Dancer, Vocalist, Rapper",176,60,A,26/10/1995,Japanese,yuu_taa_1026,nct,FALSE
137,Kun,Jeon Gon,Nct,2016,SM,TRUE,"Vocalist, Rapper",176,60,B,1/1/1996,Chinese,kun11xd,nct,FALSE
138,Doyoung,Kim Dong Young,Nct,2016,SM,TRUE,Vocalist ,178,60,B,1/2/1996,South Korean,do0_nct,nct,FALSE
139,Ten,Lee Young Heum,Nct,2016,SM,TRUE,"Dancer, Rapper, Vocalist",172,59,A,27/2/1996,Thai,tenlee_1001,nct,FALSE
140,Jaehyun,Jung Yoon Oh,Nct,2016,SM,TRUE,"Vocalist, Dancer, Rapper, Visual",180,63,A,14/2/1997,South Korean,_jeongjaehyun,nct,FALSE
141,Winwin,Dong Sa Sung,Nct,2016,SM,TRUE,"Dancer, Vocalist, Rapper, Visual",179,60,B,28/10/1997,Chinese,wwiinn_7,nct,FALSE
142,Jungwoo,Kim Jung Woo,Nct,2016,SM,TRUE,"Vocalist, Dancer",180,58,AB,19/2/1998,South Korean,None,nct,FALSE
143,Lucas,Hwang Wook-hee,Nct,2016,SM,TRUE,"Rapper, Vocalist, Visual",183,64,O,25/1/1999,Chinese,lucas_xx444,nct,FALSE
144,Mark,Lee Min Hyung,Nct,2016,SM,TRUE,"Rapper, Dancer, Vocalist",175,61,A,2/8/1999,Canadian,onyourm__ark,nct,FALSE
145,Xiaojun,So Deok Jun,Nct,2016,SM,TRUE,Vocalist,172,,A,8/8/1999,Chinese,djxiao_888,nct,FALSE
146,Hendery,Hwang Kwan Hyung,Nct,2016,SM,TRUE,"Dancer, Rapper, Vocalist, Visual",175,,O,28/9/1999,Chinese,i_m_hendery,nct,FALSE
147,Renjun,Hwang In Joon,Nct,2016,SM,TRUE,"Vocalist, Dancer",171,57,O,23/3/2000,Chinese,None,nct,FALSE
148,Jeno,Lee Je No,Nct,2016,SM,TRUE,"Dancer, Rapper, Vocalist, Visual",176,59,A,23/4/2000,South Korean,None,nct,FALSE
149,Haechan,Lee Dong Hyuck,Nct,2016,SM,TRUE,"Vocalist, Dancer",174,58,AB,6/6/2000,South Korean,None,nct,FALSE
150,Jaemin,Na Jae Min,Nct,2016,SM,TRUE,"Rapper, Dancer, Vocalist, Visual",177,58,AB,13/8/2000,South Korean,na.jaemin0813,nct,FALSE
151,Yangyang,,Nct,2016,SM,TRUE,"Rapper, Dancer, Vocalist",173,,O,10/10/2000,Taiwanese - German,yangyang_x2,nct,FALSE
152,Shotaro,,Nct,2016,SM,TRUE,"Rapper, Dancer",178,,A,25/11/2000,Japanese,None,nct,FALSE
153,Sungchan,Jung Sung Chan,Nct,2016,SM,TRUE,Rapper,185,65,A,13/9/2001,South Korean,None,nct,FALSE
154,Chenle,Jong Jin Rak,Nct,2016,SM,TRUE,Vocalist,176,58,O,22/11/2001,Chinese,None,nct,FALSE
155,Jisung,Park Ji Sung,Nct,2016,SM,TRUE,"Dancer, Vocalist, Rapper, Maknae",180,61,O,5/2/2002,South Korean,None,nct,FALSE
156,Yoon,Kang Seung Yoon,Winner,2014,YG,TRUE,"Leader, Main Vocalist, Maknae",180,58,B,21/1/1994,South Korean,w_n_r00,winnercity,FALSE
157,Jinu,Kim Jin Woo,Winner,2014,YG,TRUE,"Lead Vocalist, Visual",177,58,A,26/9/1991,South Korean,xxjjjwww,winnercity,FALSE
